Token	True POS	Predicted POS
real	JJ	JJ
of	IN	IN
,	,	,
all	DT	DT
to	TO	TO
.	.	.
velvet	NN	NN
become	VB	VB
those	DT	DT
March	NNP	NNP
balanced	JJ	JJ
the	DT	DT
stock-holding	JJ	VBG
brand	NN	NN
``	``	``
added	VBD	VBD
Sen.	NNP	NNP
economic	JJ	JJ
three	CD	CD
30	CD	CD
spring	NN	NN
lobbyist	NN	NN
Securities	NNP	NNS
1990	CD	CD
international	JJ	NNP
are	VBP	VBP
of	IN	IN
a	DT	DT
manager	NN	NN
The	DT	DT
Service	NNP	NN
said	VBD	VBD
,	,	,
''	''	''
Republicans	NNPS	NNPS
full	JJ	JJ
about	RB	IN
time	NN	NN
the	DT	DT
the	DT	DT
to	TO	TO
1994	CD	CD
court	VBP	NN
marred	VBN	VBN
.	.	.
4.6	CD	CD
often	RB	RB
BanPonce	NNP	NNP
to	TO	TO
threat	NN	NN
companies	NNS	NNS
is	VBZ	VBZ
much	JJ	JJ
managed	VBN	VBD
and	CC	CC
the	DT	DT
year	NN	NN
''	''	''
Texas	NNP	NNP
.	.	.
Germany	NNP	NNP
barrels	NNS	NNS
to	TO	TO
But	CC	CC
case	NN	NN
of	IN	IN
was	VBD	VBD
a	DT	DT
time	NN	NN
on	IN	IN
air	NN	NNP
will	MD	MD
--	:	:
to	TO	TO
said	VBD	VBD
Party	NNP	NN
cases	NNS	NNS
billion	CD	CD
sell	VB	VB
rates	NNS	NNS
that	WDT	IN
swung	VBD	NNP
severity	NN	NN
security	NN	NN
insurance	NN	NN
link	NN	NN
model	NN	NN
share	NN	NN
coatings	NNS	NNS
British	NNP	JJ
The	DT	DT
Loughman	NNP	NNP
three	CD	CD
The	DT	DT
from	IN	IN
the	DT	DT
the	DT	DT
unlike	IN	IN
,	,	,
''	''	''
will	MD	MD
and	CC	CC
to	TO	TO
Gilchrist	NNP	NNP
billion	CD	CD
running	VBG	VBG
private	JJ	JJ
had	VBD	VBD
friendly	JJ	JJ
Loan	NNP	NN
four-day	JJ	JJ
accepted	VBN	VBD
had	VBD	VBD
,	,	,
typically	RB	RB
.	.	.
the	DT	DT
jungle	NN	NNP
impairment	NN	NN
have	VB	VBP
.	.	.
together	RB	RB
blunt	VB	NNP
and	CC	CC
away	RB	RB
26	CD	CD
wheelchair	NN	NN
production	NN	NN
,	,	,
The	DT	DT
and	CC	CC
eagerness	NN	NN
of	IN	IN
's	POS	POS
Chevrolet	NNP	NNP
same	JJ	JJ
floors	NNS	NNS
helping	VBG	VBG
congressional	JJ	JJ
.	.	.
little	JJ	JJ
was	VBD	VBD
working	VBG	VBG
,	,	,
includes	VBZ	VBZ
's	POS	POS
Four	CD	CD
of	IN	IN
the	DT	DT
level	NN	NN
20	CD	CD
,	,	,
Polish	JJ	JJ
increase	NN	NN
that	IN	IN
E.	NNP	NNP
whole	JJ	JJ
at	IN	IN
priced	VBN	VBN
Nugget	NNP	NNP
than	IN	IN
composite	JJ	JJ
government	NN	NN
with	IN	IN
limited	JJ	JJ
agency	NN	NN
company	NN	NN
area	NN	NN
entirely	RB	RB
closed	VBD	VBD
the	DT	DT
secondary	JJ	JJ
substantially	RB	RB
song	NN	NN
to	TO	TO
.	.	.
thwarted	VBD	VBN
has	VBZ	VBZ
,	,	,
travel	NN	NN
of	IN	IN
IMF	NNP	NNP
was	VBD	VBD
months	NNS	NNS
the	DT	DT
it	PRP	PRP
of	IN	IN
maturity	NN	NN
costs	NNS	NNS
?	.	.
enemy	NN	NNP
,	,	,
business	NN	NN
supervisors	NNS	NNP
brokers	NNS	NNS
foresee	VB	NNP
December	NNP	NNP
's	POS	POS
own	JJ	JJ
,	,	,
of	IN	IN
his	PRP$	PRP$
increased	VBN	VBN
.	.	.
HUD	NNP	NNP
.	.	.
of	IN	IN
Hungary	NNP	NNP
talked	VBD	VBD
New	NNP	JJ
were	VBD	VBD
campaign	NN	NN
one	CD	CD
different	JJ	JJ
on	IN	IN
better	JJR	JJR
-RRB-	)	)
a	DT	DT
customized	VBN	VBN
Title	NNP	NN
and	CC	CC
,	,	,
subcompact	NN	JJ
capacity	NN	NN
plans	NNS	NNS
%	NN	NN
Oakland	NNP	NNP
depict	VB	NN
's	POS	POS
116.56	CD	CD
company	NN	NN
losses	NNS	NNS
jitters	NNS	NNS
to	TO	TO
subsidiary	NN	NN
now	RB	RB
CBS	NNP	NNP
first	JJ	JJ
the	DT	DT
million	CD	CD
the	DT	DT
,	,	,
machines	NNS	NNS
co-sponsors	NNS	NNS
pick	VB	VB
instead	RB	RB
rules	NNS	NNS
so-called	JJ	JJ
had	VBD	VBD
from	IN	IN
million	CD	CD
merger	NN	NN
's	POS	POS
Chicago	NNP	NNP
in	IN	IN
Merkur	NNP	NNP
what	WP	WP
,	,	,
there	EX	EX
War	NNP	NN
while	IN	IN
.	.	.
,	,	,
situation	NN	NN
's	POS	POS
predicted	VBN	VBD
cash	NN	NN
dividends	NNS	NNS
before	IN	IN
's	VBZ	POS
term	NN	NN
are	VBP	VBP
to	TO	TO
This	DT	DT
Morgan	NNP	NNP
it	PRP	PRP
ended	VBD	VBD
analyst	NN	NN
a	DT	DT
offerings	NNS	NNS
to	TO	TO
31	CD	CD
the	DT	DT
$	$	$
many	JJ	JJ
groups	NNS	NNS
also	RB	RB
.	.	.
be	VB	VB
now	RB	RB
and	CC	CC
to	TO	TO
definitive	JJ	JJ
,	,	,
they	PRP	PRP
.	.	.
is	VBZ	VBZ
June	NNP	NNP
investment	NN	NN
leaks	NNS	NNS
in	IN	IN
70	CD	CD
officials	NNS	NNS
month	NN	NN
Co.	NNP	NNP
33	CD	CD
constantly	RB	RB
the	DT	DT
really	RB	RB
result	VB	NN
Sir	NNP	NNP
building	NN	NN
status	NN	NN
by	IN	IN
concrete	JJ	JJ
two	CD	CD
as	IN	IN
for	IN	IN
three	CD	CD
usual	JJ	JJ
on	IN	IN
in	IN	IN
Treasury	NNP	NNP
bond	NN	NN
developed	VBN	VBN
to	TO	TO
be	VB	VB
favored	VBN	VBN
no	DT	DT
goes	VBZ	VBZ
added	VBD	VBD
,	,	,
the	DT	DT
,	,	,
provisions	NNS	NNS
,	,	,
the	DT	DT
At	IN	IN
fashionable	JJ	JJ
in	IN	IN
of	IN	IN
will	MD	MD
:	:	:
10.5625	CD	CD
Francisco	NNP	NNP
It	PRP	PRP
of	IN	IN
22	CD	CD
it	PRP	PRP
systems	NNS	NNS
communications	NNS	NNP
's	VBZ	POS
were	VBD	VBD
It	PRP	PRP
forecasting	NN	VBG
would	MD	MD
increased	VBN	VBN
``	``	``
to	TO	TO
first-grader	NN	JJ
job	NN	NN
chief	JJ	JJ
,	,	,
,	,	,
,	,	,
a	DT	DT
.	.	.
deny	VB	VB
opening	NN	NN
which	WDT	WDT
significantly	RB	RB
in	IN	IN
The	DT	DT
regions	NNS	NNS
they	PRP	PRP
an	DT	DT
autograph	VB	NN
introduction	NN	NN
conclude	VB	VB
government	NN	NN
,	,	,
2.52	CD	CD
go	VB	VB
agreement	NN	NN
much	JJ	JJ
that	DT	IN
been	VBN	VBN
sale	NN	NN
it	PRP	PRP
they	PRP	PRP
extremely	RB	RB
say	VBP	VBP
rating	NN	NN
Cortese	NNP	NNP
.	.	.
of	IN	IN
like	IN	IN
last	JJ	JJ
April	NNP	NNP
pro-choice	JJ	JJ
stories	NNS	NNS
,	,	,
for	IN	IN
work	NN	NN
,	,	,
disk	NN	NN
the	DT	DT
took	VBD	VBD
bonds	NNS	NNS
It	PRP	PRP
will	MD	MD
other	NN	JJ
will	MD	MD
agreed	VBN	VBD
nine	CD	CD
because	IN	IN
South	NNP	NNP
Dealers	NNS	NNS
to	TO	TO
Turkey	NNP	NNP
about	IN	IN
were	VBD	VBD
its	PRP$	PRP$
George	NNP	NNP
ago	RB	RB
because	IN	IN
recovery	NN	NN
sudden	JJ	JJ
supplier	NN	NN
defensive	JJ	JJ
checking	NN	VBG
elsewhere	RB	RB
political	JJ	JJ
active	JJ	JJ
from	IN	IN
said	VBD	VBD
interleukin-4	NN	NNP
rising	VBG	VBG
1989	CD	CD
is	VBZ	VBZ
earlier	RBR	RBR
.	.	.
a	DT	DT
Icahn	NNP	NNP
than	IN	IN
unleashed	VBN	VBD
in	IN	IN
that	DT	IN
was	VBD	VBD
conclusion	NN	NN
He	PRP	PRP
to	TO	TO
will	MD	MD
successful	JJ	JJ
particularly	RB	RB
million	CD	CD
offers	VBZ	VBZ
The	DT	DT
Independent	JJ	JJ
&	CC	CC
in	IN	IN
his	PRP$	PRP$
companies	NNS	NNS
new	JJ	JJ
Partners	NNPS	NNS
sets	NNS	NNS
operations	NNS	NNS
including	VBG	VBG
solicitation	NN	NN
.	.	.
after	IN	IN
for	IN	IN
story	NN	NN
economic	JJ	JJ
Pool	NNP	NN
appeared	VBD	VBD
document	NN	NN
is	VBZ	VBZ
,	,	,
.	.	.
and	CC	CC
that	IN	IN
News	NNP	NN
up	IN	IN
at	IN	IN
9\/16	CD	CD
Hall	NNP	NNP
receives	VBZ	VBZ
shippers	NNS	NNS
're	VBP	VBP
''	''	''
risks	NNS	NNS
comment	VB	VB
share	NN	NN
scheduled	VBN	VBN
to	TO	TO
ombudsman	NN	NNP
a	DT	DT
so	RB	RB
40	CD	CD
scientists	NNS	NNS
Ing	NNP	VBG
volume	NN	NN
called	VBN	VBN
to	TO	TO
Giancarlo	NNP	NNP
stock	NN	NN
's	POS	POS
the	DT	DT
supermarket	NN	NN
with	IN	IN
Bond	NNP	NN
and	CC	CC
underscore	VBP	VBP
``	``	``
Bush	NNP	NNP
editorial	NN	NN
quarterly	JJ	JJ
on	IN	IN
egg	NN	NN
.	.	.
passive	JJ	JJ
changes	NNS	NNS
to	TO	TO
resources	NNS	NNS
's	POS	POS
voters	NNS	NNS
BankAmerica	NNP	NNP
up	IN	IN
Both	DT	DT
U.S.	NNP	NNP
or	CC	CC
company	NN	NN
must	MD	MD
Abortion-rights	NNS	NNS
.	.	.
to	TO	TO
along	IN	IN
would	MD	MD
of	IN	IN
for	IN	IN
party	NN	NN
``	``	``
.	.	.
?	.	.
bad	JJ	JJ
130-unit	JJ	NN
increased	VBN	VBN
to	TO	TO
days	NNS	NNS
$	$	$
he	PRP	PRP
than	IN	IN
York	NNP	NNP
to	TO	TO
in	IN	IN
business	NN	NN
MCA	NNP	NNP
the	DT	DT
however	RB	RB
than	IN	IN
by	IN	IN
the	DT	DT
columns	NNS	NNS
,	,	,
A	DT	DT
says	VBZ	VBZ
affects	VBZ	VBZ
quake	NN	NN
fees	NNS	NNS
the	DT	DT
,	,	,
considered	VBN	VBN
the	DT	DT
``	``	``
,	,	,
needed	VBN	VBN
the	DT	DT
no	RB	DT
's	POS	POS
1,000	CD	CD
products	NNS	NNS
but	CC	CC
Beach	NNP	NNP
Although	IN	IN
''	''	''
almost	JJ	RB
fee	NN	NN
$	$	$
reduce	VB	VB
to	TO	TO
its	PRP$	PRP$
catalog	NN	NN
would	MD	MD
%	NN	NN
safe	JJ	JJ
fire	NN	NN
credit	NN	NN
up	IN	IN
corn	NN	NN
to	TO	TO
,	,	,
disclose	VB	VB
see	VB	VB
profits	NNS	NNS
2.8	CD	CD
assembly	NN	NN
%	NN	NN
and	CC	CC
next	JJ	JJ
previously	RB	RB
Valley	NNP	NNP
work	NN	NN
store	NN	NN
it	PRP	PRP
14	CD	CD
Rail	NNP	NN
.	.	.
24	CD	CD
the	DT	DT
paper	NN	NN
an	DT	DT
newsletters	NNS	NNS
the	DT	DT
.	.	.
classes	NNS	NNS
much	NN	JJ
had	VBD	VBD
auto	NN	NN
the	DT	DT
rates	NNS	NNS
pleasure	NN	NN
commercial	NN	JJ
quarter	NN	NN
Hanover	NNP	NNP
to	TO	TO
two-year	JJ	JJ
That	DT	IN
them	PRP	PRP
at	IN	IN
Home	NNP	NN
,	,	,
at	IN	IN
and	CC	CC
at	IN	IN
Stamford	NNP	NNP
in	IN	IN
cover	VB	VB
more	RBR	JJR
criminal	JJ	JJ
alarm	NN	JJ
operations	NNS	NNS
but	CC	CC
he	PRP	PRP
$	$	$
anyone	NN	NN
Today	NN	NN
desire	NN	NN
was	VBD	VBD
and	CC	CC
.	.	.
next	JJ	JJ
products	NNS	NNS
Choice	NN	NN
loss	NN	NN
's	POS	POS
to	TO	TO
opening	NN	NN
the	DT	DT
fraud	NN	NN
to	TO	TO
year-ago	JJ	JJ
due	JJ	JJ
rebates	NNS	NNS
launch	NN	NN
.	.	.
are	VBP	VBP
Lucisano	NNP	NNP
requested	VBN	VBD
30	CD	CD
99,000	CD	CD
been	VBN	VBN
president	NN	NN
million	CD	CD
mill	NN	NN
shifted	VBN	VBN
Bureaus	NNP	NN
competition	NN	NN
shrinkage	NN	NN
factory	NN	NN
4.5	CD	CD
2,700	CD	CD
,	,	,
.	.	.
.	.	.
a	DT	DT
into	IN	IN
customer	NN	NN
Gaubert	NNP	NNP
of	IN	IN
,	,	,
retail	JJ	JJ
Exchange	NNP	NNP
American	NNP	NNP
almost	RB	RB
:	:	:
thus	RB	RB
kicking	VBG	VBG
.	.	.
become	VBN	VB
're	VBP	VBP
conventional	JJ	JJ
session	NN	NN
price	NN	NN
should	MD	MD
,	,	,
and	CC	CC
manufacture	VBP	VB
AG	NNP	NNP
trader	NN	NN
long-term	JJ	JJ
never	RB	RB
,	,	,
Bennett	NNP	NNP
more	RBR	JJR
malnourishment	NN	NN
to	TO	TO
IMA	NNP	NNP
chairman	NN	NN
the	DT	DT
quantities	NNS	NNS
state-controlled	JJ	JJ
even	RB	RB
the	DT	DT
is	VBZ	VBZ
,	,	,
a	DT	DT
of	IN	IN
ring	VBP	VBG
--	:	:
moving	VBG	VBG
to	TO	TO
something	NN	NN
constituencies	NNS	NNS
this	DT	DT
MEDIA	NNP	NNS
for	IN	IN
a	DT	DT
there	EX	EX
the	DT	DT
there	EX	EX
used	VBD	VBN
unused	JJ	VBN
James	NNP	NNP
the	DT	DT
you	PRP	PRP
capital-gains	NNS	NNS
Merkur	NNP	NNP
may	MD	MD
Museum	NNP	NN
by	IN	IN
bid	NN	NN
,	,	,
tons	NNS	NNS
conceded	VBD	VBD
of	IN	IN
.	.	.
hit	VBN	VBD
could	MD	MD
financial	JJ	JJ
the	DT	DT
about	RB	IN
in	IN	IN
Consumer	NNP	NN
Co.	NNP	NNP
to	TO	TO
sale	NN	NN
use	NN	NN
Commodore	NNP	NNP
revenue	NN	NN
,	,	,
and	CC	CC
for	IN	IN
the	DT	DT
union	NN	NN
both	DT	DT
the	DT	DT
AMR	NNP	NNP
New	NNP	JJ
there	RB	EX
the	DT	DT
says	VBZ	VBZ
turning	VBG	VBG
product	NN	NN
A	DT	DT
the	DT	DT
1989	CD	CD
a	DT	DT
reserves	NNS	NNS
prices	NNS	NNS
but	CC	CC
in	IN	IN
small	JJ	JJ
you	PRP	PRP
its	PRP$	PRP$
new	JJ	JJ
heads	VBZ	NNS
second	JJ	JJ
on	IN	IN
Mr.	NNP	NNP
.	.	.
lost	VBN	VBD
Shares	NNS	NNS
goal	NN	NN
:	:	:
if	IN	IN
marketing	NN	NN
August	NNP	NNP
of	IN	IN
Harty	NNP	NNP
were	VBD	VBD
will	MD	MD
a	DT	DT
.	.	.
her	PRP$	PRP$
be	VB	VB
director	NN	NN
eligible	JJ	JJ
said	VBD	VBD
interest	NN	NN
out	IN	IN
51.9	CD	CD
We	PRP	PRP
counterpart	NN	NN
3	CD	CD
taxes	NNS	NNS
cheaper	JJR	JJR
California	NNP	NNP
precious	JJ	JJ
has	VBZ	VBZ
she	PRP	PRP
,	,	,
will	MD	MD
ca	MD	MD
imitated	VBN	VBN
however	RB	RB
by	IN	IN
to	TO	TO
tax	NN	NN
as	IN	IN
L.	NNP	NNP
advantage	NN	NN
on	IN	IN
in	IN	IN
Renault	NNP	NNP
specialists	NNS	NNS
states	NNS	NNS
.	.	.
Burton	NNP	NNP
possible	JJ	JJ
severe	JJ	JJ
's	POS	POS
cardigan	NN	NNP
M.	NNP	NNP
bylaws	NNS	NNS
the	DT	DT
cut	VB	VB
legislation	NN	NN
to	TO	TO
?	.	.
move	NN	NN
announced	VBN	VBD
exotic	JJ	JJ
increased	VBN	VBN
150	CD	CD
the	DT	DT
differences	NNS	NNS
a	DT	DT
Nov.	NNP	NNP
$	$	$
been	VBN	VBN
$	$	$
strong	JJ	JJ
Intermediate	NNP	JJ
,	,	,
raise	VB	VB
up	IN	IN
war	NN	NN
Latin	NNP	NNP
.	.	.
share	NN	NN
of	IN	IN
in	IN	IN
permitted	VBN	VBN
instability	NN	NN
faster	RBR	RBR
companies	NNS	NNS
of	IN	IN
that	IN	IN
Sark	NNP	NNP
to	TO	TO
Money	NNP	NN
will	MD	MD
stalwart	NN	JJ
unworthy	JJ	JJ
operations	NNS	NNS
owns	VBZ	VBZ
other	JJ	JJ
the	DT	DT
at	IN	IN
going	VBG	VBG
J.	NNP	NNP
leading	VBG	VBG
days	NNS	NNS
no	DT	DT
vehicles	NNS	NNS
by	IN	IN
to	TO	TO
the	DT	DT
,	,	,
It	PRP	PRP
not	RB	RB
.	.	.
navy	NN	NNP
group	NN	NN
or	CC	CC
connotations	NNS	NNS
nation	NN	NN
billionaire	NN	NN
shareholders	NNS	NNS
from	IN	IN
of	IN	IN
issue	NN	NN
consumer	NN	NN
out	IN	IN
new	JJ	JJ
year	NN	NN
of	IN	IN
dollars	NNS	NNS
a	DT	DT
and	CC	CC
universe	NN	NN
in	IN	IN
to	TO	TO
white	JJ	NNP
.	.	.
fears	NNS	NNS
vice	NN	NN
slightly	RB	RB
near	IN	IN
.	.	.
dollar	NN	NN
first	JJ	JJ
the	DT	DT
biggest	JJS	JJS
an	DT	DT
Politburo	NNP	NNP
.	.	.
price	NN	NN
433.5	CD	CD
much	RB	JJ
estimate	NN	NN
have	VB	VBP
or	CC	CC
must	MD	MD
importing	VBG	VBG
for	IN	IN
7\/8	CD	CD
though	IN	IN
ongoing	JJ	JJ
Real	JJ	JJ
%	NN	NN
nickname	NN	NN
the	DT	DT
of	IN	IN
gets	VBZ	VBZ
the	DT	DT
$	$	$
of	IN	IN
management	NN	NN
Except	IN	IN
.	.	.
import-export	JJ	VB
admits	VBZ	VBZ
rose	VBD	VBD
start	VB	VB
,	,	,
are	VBP	VBP
felt	VBD	VBD
Data	NNP	NNS
appeals	NNS	NNS
and	CC	CC
almost	RB	RB
and	CC	CC
year	NN	NN
is	VBZ	VBZ
affiliate	NN	NN
year	NN	NN
who	WP	WP
the	DT	DT
the	DT	DT
prevent	VB	VB
founder	NN	NN
estate	NN	NN
reduce	VB	VB
's	POS	POS
panel	NN	NN
,	,	,
term	NN	NN
on	IN	IN
very	RB	RB
purpose	NN	NN
consultant	NN	NN
which	WDT	WDT
buy	VBP	VB
,	,	,
,	,	,
anniversary	NN	NN
indifference	NN	NN
,	,	,
for	IN	IN
.	.	.
said	VBD	VBD
ad	NN	NN
including	VBG	VBG
.	.	.
momentary	JJ	NN
Leading	VBG	VBG
.	.	.
adds	VBZ	VBZ
groups	NNS	NNS
the	DT	DT
in	IN	IN
individuals	NNS	NNS
above	IN	IN
for	IN	IN
.	.	.
slump	NN	NN
;	:	:
?	.	.
cope	VB	VB
has	VBZ	VBZ
3.34	CD	CD
or	CC	CC
as	IN	IN
highway	NN	NN
a	DT	DT
than	IN	IN
executive	NN	JJ
Lybrand	NNP	NNP
,	,	,
or	CC	CC
Collectibles	NNS	NNS
,	,	,
a	DT	DT
at	IN	IN
small	JJ	JJ
net	JJ	JJ
sites	NNS	NNS
policy	NN	NN
of	IN	IN
be	VB	VB
maintain	VB	VB
's	POS	POS
Chicago	NNP	NNP
's	POS	POS
''	''	''
expects	VBZ	VBZ
,	,	,
grounds	NNS	NNS
Vietnamese	JJ	JJ
losers	NNS	NNS
``	``	``
network	NN	NN
Forest	NNP	NNP
open	JJ	JJ
York	NNP	NNP
several	JJ	JJ
securities	NNS	NNS
prevails	VBZ	NNS
were	VBD	VBD
estimated	VBN	VBN
used	VBD	VBN
that	WDT	IN
closing	VBG	VBG
from	IN	IN
12	CD	CD
bonds	NNS	NNS
Ohio	NNP	NNP
terms	NNS	NNS
television	NN	NN
de	FW	FW
n't	RB	RB
by	IN	IN
and	CC	CC
second	JJ	JJ
majoring	VBG	JJ
a	DT	DT
...	:	:
Colorado	NNP	NNP
3\/4	CD	CD
the	DT	DT
horrible	JJ	JJ
discover	VBP	VB
are	VBP	VBP
,	,	,
a	DT	DT
commissioner	NN	NN
have	VBP	VBP
division	NN	NN
the	DT	DT
notion	NN	NN
Texas	NNP	NNP
treat	VB	VB
.	.	.
and	CC	CC
unit	NN	NN
.	.	.
Gartner	NNP	NNP
interest	NN	NN
a	DT	DT
5\/8	CD	CD
1982	CD	CD
onto	IN	IN
in	IN	IN
B.	NNP	NNP
--	:	:
Savings	NNP	NNS
average	NN	JJ
York	NNP	NNP
heart	NN	NN
this	DT	DT
it	PRP	PRP
the	DT	DT
and	CC	CC
Lackey	NNP	NN
federal	JJ	JJ
committed	VBN	VBN
through	IN	IN
so	RB	RB
a	DT	DT
launch	NN	NN
its	PRP$	PRP$
.	.	.
new	JJ	JJ
House	NNP	NNP
because	IN	IN
plus	CC	CC
offices	NNS	NNS
added	VBD	VBD
simply	RB	RB
merged	VBN	VBN
piston	NN	NNP
is	VBZ	VBZ
the	DT	DT
at	IN	IN
Viacom	NNP	NNP
miscreant	JJ	NN
in	IN	IN
20	CD	CD
amount	NN	NN
8	CD	CD
a	DT	DT
with	IN	IN
pay	VB	VB
cases	NNS	NNS
was	VBD	VBD
looked	VBN	VBN
are	VBP	VBP
to	TO	TO
$	$	$
Laboratory	NNP	NN
big	JJ	JJ
ended	VBD	VBD
.	.	.
include	VBP	VBP
especially	RB	RB
100,000	CD	CD
Silver	NNP	NN
in	IN	IN
Inc	NNP	NNP
be	VB	VB
from	IN	IN
in	IN	IN
and	CC	CC
yield	VB	NN
reduced	VBD	VBN
the	DT	DT
.	.	.
East	NNP	NNP
revels	NNS	NNS
would	MD	MD
Nimitz	NNP	NNP
Jan.	NNP	NNP
,	,	,
In	IN	IN
sales	NNS	NNS
furriers	NNS	NNS
biggest	JJS	JJS
.	.	.
East	NNP	NNP
it	PRP	PRP
board	NN	NN
's	POS	POS
to	TO	TO
data	NNS	NNS
been	VBN	VBN
Communist	NNP	NNP
.	.	.
to	TO	TO
Now	RB	RB
lots	NNS	NNS
n't	RB	RB
That	DT	IN
plying	VBG	VBG
says	VBZ	VBZ
it	PRP	PRP
that	WDT	IN
increases	NNS	NNS
cash-strapped	JJ	JJ
movie	NN	NN
all	PDT	DT
than	IN	IN
a	DT	DT
does	VBZ	VBZ
Star	NNP	NNP
'	POS	POS
have	VBP	VBP
have	VB	VBP
for	IN	IN
aftermath	NN	NN
and	CC	CC
more	RBR	JJR
previously	RB	RB
the	DT	DT
USAir	NNP	NNP
,	,	,
was	VBD	VBD
planes	NNS	NNS
in	IN	IN
million	CD	CD
until	IN	IN
,	,	,
the	DT	DT
,	,	,
build	VB	VB
his	PRP$	PRP$
slight	JJ	JJ
But	CC	CC
's	VBZ	POS
,	,	,
now	RB	RB
vehicles	NNS	NNS
on	IN	IN
to	TO	TO
ended	VBD	VBD
and	CC	CC
television	NN	NN
FileNet	NNP	NNP
attract	VB	VB
year	NN	NN
shop	NN	NN
Rican	NNP	JJ
for	IN	IN
or	CC	CC
allowed	VBD	VBN
,	,	,
program	NN	NN
,	,	,
This	DT	DT
15-year	JJ	JJ
to	TO	TO
,	,	,
risk	NN	NN
for	IN	IN
Human	NNP	JJ
materially	RB	RB
,	,	,
Among	IN	IN
Guber	NNP	NNP
annual	JJ	JJ
to	TO	TO
holder	NN	NN
subordinated	VBN	VBN
of	IN	IN
44	CD	CD
Glenn	NNP	NNP
's	VBZ	POS
the	DT	DT
in	IN	IN
current	JJ	JJ
be	VB	VB
cash	NN	NN
$	$	$
growth	NN	NN
Nob	NNP	NN
inedible	JJ	JJ
by	IN	IN
And	CC	CC
$	$	$
,	,	,
Mr.	NNP	NNP
Prestige	NNP	NN
Sports	NNPS	NNS
,	,	,
,	,	,
used	VBD	VBN
''	''	''
Amdura	NNP	NNP
understand	VB	VBP
,	,	,
at	IN	IN
if	IN	IN
genuine	JJ	NNP
Department	NNP	NNP
But	CC	CC
established	VBN	VBN
.	.	.
continued	VBN	VBD
as	IN	IN
core	NN	NN
system	NN	NN
spirits	NNS	NNS
not	RB	RB
166.9	CD	CD
paralysis	NN	NN
10	CD	CD
expect	VB	VBP
of	IN	IN
making	VBG	VBG
shares	NNS	NNS
some	DT	DT
many	JJ	JJ
a	DT	DT
development	NN	NN
want	VB	VBP
primarily	RB	RB
have	VB	VBP
's	POS	POS
$	$	$
containing	VBG	VBG
eliminate	VBP	VB
Most	JJS	RBS
market	NN	NN
souped-up	JJ	JJ
and	CC	CC
reluctant	JJ	JJ
style	NN	NN
Only	RB	RB
to	TO	TO
said	VBD	VBD
's	POS	POS
donor	NN	NN
Dr.	NNP	NNP
.	.	.
necessity	NN	NN
.	.	.
that	IN	IN
skeptical	JJ	JJ
Levine	NNP	NNP
senior	JJ	JJ
on	IN	IN
losing	NN	VBG
the	DT	DT
the	DT	DT
who	WP	WP
,	,	,
share	NN	NN
,	,	,
Upon	IN	IN
Christian	NNP	NNP
to	TO	TO
other	JJ	JJ
.	.	.
coverage	NN	NN
In	IN	IN
,	,	,
Viaje	NNP	NNP
$	$	$
Atlantic	NNP	NNP
rest	NN	NN
Ashland	NNP	NNP
Latin	NNP	NNP
of	IN	IN
-LRB-	(	(
Shearson	NNP	NNP
also	RB	RB
be	VB	VB
interest	NN	NN
were	VBD	VBD
expected	VBN	VBN
exchange	NN	NNP
experiment	NN	NN
,	,	,
paid	VBN	VBN
in	IN	IN
and	CC	CC
agents	NNS	NNS
Holdings	NNP	NNS
weeks	NNS	NNS
many	RB	JJ
initial	JJ	JJ
,	,	,
the	DT	DT
stress	NN	NN
will	MD	MD
and	CC	CC
offices	NNS	NNS
new	JJ	JJ
%	NN	NN
he	PRP	PRP
system	NN	NN
consensus	NN	NN
A	DT	DT
in	IN	IN
``	``	``
are	VBP	VBP
arbitrage	NN	NN
Partnership	NNP	NN
debt	NN	NN
Democratic	JJ	JJ
value	NN	NN
by	IN	IN
fact	NN	NN
against	IN	IN
to	TO	TO
analyst	NN	NN
to	TO	TO
lighted	VBN	VBN
single	JJ	JJ
double-edged	JJ	JJ
is	VBZ	VBZ
by	IN	IN
,	,	,
,	,	,
figures	NNS	NNS
or	CC	CC
a	DT	DT
given	VBN	VBN
stock	NN	NN
decided	VBD	VBD
but	CC	CC
19.625	CD	CD
his	PRP$	PRP$
1988	CD	CD
WCRS	NNP	NNP
more	RBR	JJR
about	IN	IN
favored	VBD	VBN
.	.	.
there	EX	EX
Scorpio	NNP	NNP
goodies	NNS	NNS
controversial	JJ	JJ
But	CC	CC
Nicaragua	NNP	NNP
gates	NNS	NNS
benefit	NN	NN
the	DT	DT
$	$	$
he	PRP	PRP
fell	VBD	VBD
plunge	NN	NN
aircraft	NN	NN
social	JJ	NNP
by	IN	IN
Workers	NNS	NNS
,	,	,
promise	VBP	NN
our	PRP$	PRP$
Linh	NNP	NNP
years	NNS	NNS
the	DT	DT
their	PRP$	PRP$
across	IN	IN
,	,	,
at	IN	IN
the	DT	DT
That	DT	IN
lent	VBN	VBD
Likewise	RB	RB
owners	NNS	NNS
expects	VBZ	VBZ
uses	NNS	VBZ
a	DT	DT
Whitbread	NNP	NNP
15	CD	CD
at	IN	IN
passed	VBN	VBN
-RRB-	)	)
are	VBP	VBP
for	IN	IN
New	NNP	JJ
,	,	,
Soo	NNP	NNP
100	CD	CD
the	DT	DT
a	DT	DT
be	VB	VB
cut	VB	VB
